scode,OJprecip,w_year,grow_year,yst,source
ON,249,05_06,6,0,prism
ON,177,06_07,7,1,prism
ON,251,07_08,8,2,bruce
ON,228,08_09,9,3,bruce
ON,240,09_10,10,4,bruce
ON,395,10_11,11,5,bruce
ON,178,11_12,12,6,bruce
ON,212,12_13,13,7,bruce
ON,242,13_14,14,8,bruce
ON,240,14_15,15,9,bruce
ON,297,15_16,16,10,bruce
ON,266,16_17,17,11,prism
SC,249,05_06,6,-1,prism
SC,177,06_07,7,0,prism
SC,300,07_08,8,1,bruce
SC,265,08_09,9,2,bruce
SC,265,09_10,10,3,bruce
SC,400,10_11,11,4,bruce
SC,201,11_12,12,5,bruce
SC,201,12_13,13,6,prism
SC,196,13_14,14,7,prism
SC,179,14_15,15,8,bruce
SC,490,15_16,16,9,bruce
SC,266,16_17,17,10,prism
GR,249,05_06,6,-1,prism
GR,197,06_07,7,0,prism
GR,212,07_08,8,1,bruce
GR,197,08_09,9,2,bruce
GR,260,09_10,10,3,bruce
GR,355,10_11,11,4,bruce
GR,256,11_12,12,5,bruce
GR,189,12_13,13,6,bruce
GR,133,13_14,14,7,bruce
GR,186,14_15,15,8,bruce
GR,232,15_16,16,9,bruce
GR,266,16_17,17,10,prism
