PRISM Time Series Data,,,,,,,
Location:  Lat: 40.2419   Lon: -112.4711   Elev: 1643m,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax",,,,,,,
Spatial resolution: 4km,,,,,,,
Period: 2005-10 - 2017-06,,,,,,,
Dataset: AN81m,,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,,
Grid Cell Interpolation: Off,,,,,,,
Time series generated: 2018-May-24,,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,,
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),,,oct-june
2005-10,31.34,1.1,9.9,18.7,,5_6,249.14
2005-11,14.63,-4.6,3.5,11.5,,6_7,177.27
2005-12,25.63,-9.3,-1.8,5.7,,7_8,203.88
2006-01,29.87,-7.8,-0.5,6.8,,8_9,274.76
2006-02,11.76,-8.8,-0.9,6.9,,9_10,251.69
2006-03,50.44,-4.2,2.7,9.7,,10_11,432.25
2006-04,52.41,1.1,8.8,16.6,,11_12,176.95
2006-05,17.82,5.3,14.2,23,,12_13,201
2006-06,15.24,10.3,20.1,29.9,,13_14,196.92
2006-07,9.86,15.7,25.1,34.5,,14_15,234.89
2006-08,14.82,12.3,21.8,31.4,,15_16,224.79
2006-09,32.13,4.9,14.5,24,,16_17,265.71
2006-10,41.78,0.6,8.6,16.5,,,
2006-11,10.34,-4.4,3.5,11.4,,,
2006-12,16.35,-9.8,-2.7,4.3,,,
2007-01,12,-13.8,-6.7,0.3,,,
2007-02,27.08,-5.9,1,7.9,,,
2007-03,30.9,-3,5.4,13.8,,,
2007-04,9.44,-0.1,8.3,16.6,,,
2007-05,8.66,6.1,14.6,23.1,,,
2007-06,20.72,8.7,19.2,29.7,,,
2007-07,19.55,15,24.8,34.5,,,
2007-08,12.84,14.7,23.7,32.7,,,
2007-09,23.23,7.3,16.7,26,,,
2007-10,27.68,0.6,9.1,17.7,,,
2007-11,2.05,-4.7,3.9,12.6,,,
2007-12,58,-10.1,-3.9,2.4,,,
2008-01,23.37,-11.9,-4.9,2,,,
2008-02,31.06,-7.9,-1.2,5.5,,,
2008-03,12.38,-4.9,2.2,9.4,,,
2008-04,2.76,-3.3,5.1,13.5,,,
2008-05,24.7,2.6,11.1,19.7,,,
2008-06,21.88,8.4,17.9,27.3,,,
2008-07,3.89,14.3,24,33.8,,,
2008-08,5.18,12.4,22.5,32.5,,,
2008-09,21.96,6.6,16.3,26,,,
2008-10,22.11,0.8,9.7,18.6,,,
2008-11,19.97,-2.4,4.8,12,,,
2008-12,26.7,-9.3,-2.2,4.9,,,
2009-01,40.22,-9.2,-2.3,4.6,,,
2009-02,33.25,-5.8,0.8,7.5,,,
2009-03,18.44,-3.9,3.7,11.3,,,
2009-04,46.58,-0.9,6.8,14.5,,,
2009-05,22.48,4.7,13.4,22.2,,,
2009-06,45.01,8.4,16.5,24.5,,,
2009-07,6.29,13.6,23,32.3,,,
2009-08,11.61,11.1,21,30.9,,,
2009-09,11.99,8.9,18.6,28.4,,,
2009-10,21.84,-1.2,6.7,14.6,,,
2009-11,5.17,-5.8,2.8,11.5,,,
2009-12,36.7,-13.5,-6.3,0.9,,,
2010-01,11.73,-8.9,-2.3,4.2,,,
2010-02,12.71,-5.2,0.5,6.2,,,
2010-03,31.48,-3.5,3.7,11,,,
2010-04,55.1,-1.3,6.3,14,,,
2010-05,47.06,1.2,8.9,16.6,,,
2010-06,29.9,9.1,17.7,26.4,,,
2010-07,12.68,13.4,22.9,32.4,,,
2010-08,35.08,12.4,21.4,30.3,,,
2010-09,3.36,6.6,17.3,28,,,
2010-10,37.95,3.2,11,18.9,,,
2010-11,51.27,-4.9,1.7,8.3,,,
2010-12,70.38,-5.3,0.2,5.7,,,
2011-01,15.42,-10.6,-3.8,3,,,
2011-02,24.71,-6.5,-0.6,5.3,,,
2011-03,40.17,-2.3,4.2,10.6,,,
2011-04,60.83,-1.4,5.7,12.7,,,
2011-05,112.6,1.8,9.1,16.4,,,
2011-06,18.92,6.9,16.3,25.6,,,
2011-07,19.11,13.9,22.8,31.8,,,
2011-08,18.93,12.9,22.9,32.8,,,
2011-09,12.49,7.9,17.5,27.1,,,
2011-10,30.3,2,10.1,18.3,,,
2011-11,31.29,-5.2,2.3,9.7,,,
2011-12,2.56,-10.6,-3.7,3.2,,,
2012-01,31.69,-8.7,-0.9,6.9,,,
2012-02,18.71,-6.5,0,6.4,,,
2012-03,22.81,-1.8,5.7,13.2,,,
2012-04,31.64,0.9,9.2,17.5,,,
2012-05,7.95,4.1,13.1,22.1,,,
2012-06,0,9.6,19.5,29.4,,,
2012-07,26.09,14.4,23.5,32.5,,,
2012-08,8.38,14.6,23.6,32.5,,,
2012-09,25.78,8.3,17.5,26.8,,,
2012-10,21.56,0.8,9.6,18.5,,,
2012-11,20.5,-2.9,4.8,12.5,,,
2012-12,54.36,-6.6,-1.1,4.4,,,
2013-01,25.55,-15.4,-8.7,-2,,,
2013-02,12.13,-10.3,-3.7,2.9,,,
2013-03,10.44,-3.3,4,11.2,,,
2013-04,32.54,-1.2,6.3,13.7,,,
2013-05,23.92,4.2,12.6,21,,,
2013-06,0,9.7,19.5,29.3,,,
2013-07,39.05,15.1,24.1,33,,,
2013-08,8.98,13.7,22.5,31.2,,,
2013-09,43.28,9.9,17,24,,,
2013-10,21.19,-0.4,7.5,15.5,,,
2013-11,18.07,-4.1,3.2,10.4,,,
2013-12,27.99,-13.1,-6.2,0.7,,,
2014-01,16.07,-9.3,-2.2,4.8,,,
2014-02,25.49,-5.2,1.5,8.2,,,
2014-03,26.97,-3.3,4.4,12.1,,,
2014-04,29.04,-0.7,7.2,15.1,,,
2014-05,16.23,4.4,12.9,21.4,,,
2014-06,15.87,8.7,18,27.2,,,
2014-07,22.27,15.1,24.1,33,,,
2014-08,56.1,11.8,20.1,28.4,,,
2014-09,45.42,8.8,17.7,26.5,,,
2014-10,5,1.8,10.9,19.9,,,
2014-11,13.37,-4.8,2.7,10.2,,,
2014-12,30.56,-5.6,0.6,6.8,,,
2015-01,17.59,-6.9,-0.8,5.4,,,
2015-02,2.44,-3.8,3.8,11.5,,,
2015-03,15.69,-2.3,6.2,14.7,,,
2015-04,43.24,-0.6,7.8,16.1,,,
2015-05,91.06,5.2,11.8,18.5,,,
2015-06,15.94,11.3,20.9,30.4,,,
2015-07,22.98,12.8,21.5,30.1,,,
2015-08,19.49,12,21.4,30.8,,,
2015-09,19.32,9.6,18.5,27.5,,,
2015-10,18.89,4.6,12.4,20.2,,,
2015-11,20.97,-6,1.3,8.7,,,
2015-12,32.01,-9.6,-3.1,3.4,,,
2016-01,27.91,-10.2,-3.8,2.6,,,
2016-02,13.82,-7.4,-0.4,6.6,,,
2016-03,37.54,-1.9,5.2,12.3,,,
2016-04,34.13,0.7,8.4,16,,,
2016-05,30.22,3.6,11.6,19.6,,,
2016-06,9.3,11.1,20.7,30.3,,,
2016-07,5.66,13.9,23.5,33,,,
2016-08,4.63,11.6,21.5,31.4,,,
2016-09,26.95,6.7,15.9,25.2,,,
2016-10,11.5,3,11.3,19.6,,,
2016-11,21.53,-2.6,5.5,13.7,,,
2016-12,35.79,-10.3,-3.6,3.1,,,
2017-01,49,-10.1,-4.2,1.7,,,
2017-02,34.76,-4.1,2.2,8.4,,,
2017-03,62.06,-1.3,6.4,14.1,,,
2017-04,38.42,-0.9,6.4,13.8,,,
2017-05,10.9,2.8,11.6,20.3,,,
2017-06,1.75,10.1,19.8,29.5,,,
