subplot_id,year,p_elevation,tree_cover_ttl,can_cover_pt_shrub,can_cover_pt_pgrass,can_cover_pt_agrass,fc_bare_gnd_fol_cvr,tree_cvr_JUOC,tree_cvr_PIPO,sp_number,treatment,sp_phase
WJ-BC-BC007,16,897,2.3,0,60.7,16,4,2.3,0,7,FI,1
WJ-BC-BC008,16,897,0.2,0,68.3,22.7,1,0.2,0,8,FI,1
WJ-BC-BC010,16,897,0.1,5.3,33,24.7,15.3,0.1,0,10,FI,3
WJ-BC-BC011,16,897,12.1,6.3,37.7,12,12.7,12.1,0,11,FI,3
WJ-BC-BC012,16,897,1.3,6.3,45.7,8,18.3,1.3,0,12,FI,3
WJ-BC-BC014,16,897,6.3,1.3,52.3,25.3,3.7,6.3,0,14,FI,3
WJ-BC-BC016,16,897,4.1,4.3,30.7,20.7,12,4.1,0,16,FI,1
WJ-BC-BC017,16,897,1.5,11.3,23.7,57.7,2.7,1.5,0,17,FI,2
WJ-BC-BC019,16,897,0.1,6,38,19.7,13.7,0.1,0,19,FI,3
WJ-BC-BC020,16,897,0.5,10.7,33.3,29,11,0.5,0,20,FI,3
WJ-BC-BC021,16,897,0.1,5,41.7,17.7,13.3,0.1,0,21,FI,2
WJ-BC-BC023,16,897,4.3,2,59.7,23.7,6,4.3,0,23,FI,2
WJ-BC-BC026,16,897,0,0,38.7,22.7,13.7,0,0,26,FI,1
WJ-BC-BC028,16,897,0.7,2,58.7,49.7,1.7,0.7,0,28,FI,2
WJ-BC-CC002,16,871,17.1,8.3,34,11.3,17.3,17.1,0,2,CO,2
WJ-BC-CC003,16,871,29.5,1.7,34,2.3,18.3,29.5,0,3,CO,1
WJ-BC-CC005,16,871,10.5,2.3,45.7,9.7,6.3,10.5,0,5,CO,1
WJ-BC-CC008,16,871,6.5,9.3,51,12,12.3,6.5,0,8,CO,1
WJ-BC-CC011,16,871,22.9,8,35,15,15.3,22.9,0,11,CO,2
WJ-BC-CC012,16,871,23.8,3,34,6.7,10,23.8,0,12,CO,2
WJ-BC-CC013,16,871,19.6,10.3,22.7,11.3,11.3,19.6,0,13,CO,2
WJ-BC-CC014,16,871,30.5,1,38.3,12.7,8.7,30.5,0,14,CO,2
WJ-BC-CC015,16,871,2.6,15,66,29.7,1.7,2.6,0,15,CO,1
WJ-BC-CC020,16,871,17.5,9.3,38.7,9.3,21,17.5,0,20,CO,1
WJ-BC-CC022,16,871,9.7,3.7,18.3,25.3,21.3,9.7,0,22,CO,1
WJ-BC-CC024,16,871,18.2,1,39,9.3,9,18.2,0,24,CO,2
WJ-BC-CC025,16,871,10.8,1.3,39,5,14,10.8,0,25,CO,1
WJ-BC-CC026,16,871,16.2,11.3,37.3,20,5.3,16.2,0,26,CO,1
WJ-BC-CC028,16,871,9.6,6,58,8.3,5,9.6,0,28,CO,1
WJ-BC-MC001,16,865,1.1,7.7,47,16,10.3,1.1,0,1,ME,3
WJ-BC-MC002,16,865,1.7,9.7,27.3,26,13.7,1.7,0,2,ME,3
WJ-BC-MC003,16,865,1.2,10,41.3,10.7,11.7,1.2,0,3,ME,3
WJ-BC-MC004,16,865,1.1,2,66.3,17.3,1.7,1.1,0,4,ME,2
WJ-BC-MC008,16,865,0.8,6.3,61.7,22.3,6.7,0.8,0,8,ME,2
WJ-BC-MC009,16,865,0.7,5.7,60.7,24.3,1,0.7,0,9,ME,1
WJ-BC-MC014,16,865,1.2,10.3,47.7,43.7,2.3,1.2,0,14,ME,3
WJ-BC-MC015,16,865,0.9,17.3,49.3,54.7,1.7,0.9,0,15,ME,1
WJ-BC-MC016,16,865,0.6,10.3,59,38.3,3,0.6,0,16,ME,1
WJ-BC-MC019,16,865,0.3,11.3,58.7,23.7,1.7,0.3,0,19,ME,1
WJ-BC-MC021,16,865,0.5,14.3,65.7,25.3,2,0.5,0,21,ME,1
WJ-BC-MC024,16,865,2.4,9.3,50,4.7,10,2.4,0,24,ME,2
WJ-BC-MC025,16,865,0.5,7,48,14,11.7,0.5,0,25,ME,2
WJ-BC-MC026,16,865,0.5,10.7,47,18.3,6.7,0.5,0,26,ME,2
WJ-BC-MC030,16,865,0.7,6,63.7,44.7,2,0.7,0,30,ME,1
WJ-WB-BC004,16,1412,0,12.3,42,2,22,0,0,4,FI,1
WJ-WB-BC006,16,1412,0,11.3,43.7,0.7,26.7,0,0,6,FI,1
WJ-WB-BC008,16,1412,0,3.7,36.7,5,27.3,0,0,8,FI,2
WJ-WB-BC012,16,1412,0,5,44,2.7,28.3,0,0,12,FI,2
WJ-WB-BC014,16,1412,0.1,3.7,44,7.3,21.3,0.1,0,14,FI,2
WJ-WB-BC016,16,1412,0,8.3,35.3,1,23.3,0,0,16,FI,1
WJ-WB-BC019,16,1412,0,10.3,35.3,1,32,0,0,19,FI,1
WJ-WB-BC024,16,1412,0,7.7,45.3,0.7,24.3,0,0,24,FI,1
WJ-WB-BC026,16,1412,0,8.7,41.3,6,23.7,0,0,26,FI,2
WJ-WB-BC027,16,1412,0,11.7,39.7,1.3,27.7,0,0,27,FI,1
WJ-WB-BC028,16,1412,0,3.7,40.7,3.7,25.7,0,0,28,FI,1
WJ-WB-BC030,16,1412,0,12.3,38.3,0,35,0,0,30,FI,1
WJ-WB-BC033,16,1412,0,5.3,44.3,11.7,19,0,0,33,FI,2
WJ-WB-BC038,16,1412,0,7.3,41,1,31.7,0,0,38,FI,1
WJ-WB-BC040,16,1412,0,6.3,41.3,0,35.3,0,0,40,FI,1
WJ-WB-CC003,16,1407,7.8,8,32,0,31.3,7.8,0,3,CO,1
WJ-WB-CC013,16,1407,10.3,5.3,22.7,0,41.3,10.3,0,13,CO,1
WJ-WB-CC015,16,1407,25.9,0.7,18.3,0,32,25.9,0,15,CO,3
WJ-WB-CC016,16,1407,29.1,2.3,13.3,0,35.7,29.1,0,16,CO,3
WJ-WB-CC017,16,1407,15.2,4,18.3,0,55.7,15.2,0,17,CO,2
WJ-WB-CC018,16,1407,12.5,3.3,16.7,0,53.7,12.5,0,18,CO,2
WJ-WB-CC020,16,1407,7.5,5.3,22.7,0,41.3,7.5,0,20,CO,1
WJ-WB-CC022,16,1407,23.9,4,18.7,0,32,23.9,0,22,CO,2
WJ-WB-CC023,16,1407,33.4,1,15.7,0.3,51,33.4,0,23,CO,2
WJ-WB-CC034,16,1407,12.2,3.7,33.3,0,35.7,12.2,0,34,CO,1
WJ-WB-CC035,16,1407,24.3,1,23.3,0,39.7,24.3,0,35,CO,3
WJ-WB-CC036,16,1407,18.6,1,23,0,48.7,18.6,0,36,CO,2
WJ-WB-CC037,16,1407,28.6,2,26.3,1.3,25.3,28.6,0,37,CO,2
WJ-WB-CC039,16,1407,12,3.3,30.3,0,36.3,12,0,39,CO,1
WJ-WB-CC040,16,1407,10,1.7,33,0,40,10,0,40,CO,1
WJ-WB-MC001,16,1419,1.3,7.7,30.7,0,33.7,1.2,0.1,1,ME,1
WJ-WB-MC003,16,1419,1,11.3,42.7,0,29,1,0,3,ME,1
WJ-WB-MC005,16,1419,0.2,14.3,44.3,0,25.3,0.2,0,5,ME,1
WJ-WB-MC009,16,1419,0.3,20.7,33.7,0,28.3,0.3,0,9,ME,1
WJ-WB-MC010,16,1419,1.1,15.3,33.3,0,27.7,1.1,0,10,ME,1
WJ-WB-MC014,16,1419,0,11.7,41,0.3,22,0,0,14,ME,1
WJ-WB-MC015,16,1419,0.1,20,41.3,1.7,20.3,0.1,0,15,ME,2
WJ-WB-MC017,16,1419,0.4,22.7,26,0.7,32.3,0.4,0,17,ME,1
WJ-WB-MC030,16,1419,1.3,18.3,36,0,27,1.3,0,30,ME,1
WJ-WB-MC032,16,1419,1.3,18,34.3,0,34.7,1.3,0,32,ME,1
WJ-WB-MC033,16,1419,0.7,20.7,38.7,0.3,23.7,0.7,0,33,ME,1
WJ-WB-MC034,16,1419,1,21,33.7,1,21.3,1,0,34,ME,1
WJ-WB-MC035,16,1419,1.4,15.3,29.3,0,33,1.4,0,35,ME,2
WJ-WB-MC037,16,1419,0.7,21.7,41.7,0,21.3,0.7,0,37,ME,1
WJ-WB-MC040,16,1419,1.3,10.3,31.3,0.7,30,1.3,0,40,ME,2
WJ-WB-MC041,16,1419,2.8,12,33.3,0,26.3,2.8,0,41,ME,3
