subplot_id,year,speriod,dwd_fuel_10h,dwd_fuel_100h,dwd_fuel_1000h_s,dwd_fuel_1000h_r,rcode,scode,pcode,ptype,sp_number,treatment
JP-GR-GC001,17,1,1899,4411,11578,0,JP,GR,G,CP,1,BM
JP-GR-GC003,17,1,2814,6396,8867,3596,JP,GR,G,CP,3,BM
JP-GR-GC005,17,1,1816,3750,5407,0,JP,GR,G,CP,5,BM
JP-GR-GC010,17,1,2024,2316,750,0,JP,GR,G,CP,10,BM
JP-GR-GC011,17,1,291,993,477,0,JP,GR,G,CP,11,BM
JP-GR-GC015,17,1,1843,1764,7930,0,JP,GR,G,CP,15,BM
JP-GR-GC016,17,1,610,993,1309,617,JP,GR,G,CP,16,BM
JP-GR-GC018,17,1,3132,2316,0,1707,JP,GR,G,CP,18,BM
JP-GR-GC021,17,1,956,3529,1783,158,JP,GR,G,CP,21,BM
JP-GR-GC026,17,1,2730,5404,1372,0,JP,GR,G,CP,26,BM
JP-GR-GC027,17,1,277,1544,0,654,JP,GR,G,CP,27,BM
JP-GR-GC028,17,1,1234,2647,539,516,JP,GR,G,CP,28,BM
JP-GR-GC029,17,1,1552,3529,3871,0,JP,GR,G,CP,29,BM
JP-GR-GC031,17,1,1746,4742,266,713,JP,GR,G,CP,31,BM
JP-GR-GC035,17,1,2717,3860,0,7851,JP,GR,G,CP,35,BM
JP-ON-GC004,16,1,2356,2206,1066,0,JP,ON,G,CP,4,BM
JP-ON-GC005,16,1,305,882,0,0,JP,ON,G,CP,5,BM
JP-ON-GC006,16,1,721,1103,0,0,JP,ON,G,CP,6,BM
JP-ON-GC010,16,1,3520,3970,1217,967,JP,ON,G,CP,10,BM
JP-ON-GC012,16,1,554,221,421,0,JP,ON,G,CP,12,BM
JP-ON-GC013,16,1,305,0,0,0,JP,ON,G,CP,13,BM
JP-ON-GC017,16,1,2744,1103,533,0,JP,ON,G,CP,17,BM
JP-ON-GC018,16,1,444,1323,0,0,JP,ON,G,CP,18,BM
JP-ON-GC019,16,1,554,1764,658,0,JP,ON,G,CP,19,BM
JP-ON-GC022,16,1,1552,662,0,0,JP,ON,G,CP,22,BM
JP-ON-GC024,16,1,3687,2647,1835,0,JP,ON,G,CP,24,BM
JP-ON-GC026,16,1,804,2867,1822,0,JP,ON,G,CP,26,BM
JP-ON-GC030,16,1,1996,1103,0,0,JP,ON,G,CP,30,BM
JP-ON-GC031,16,1,1857,1103,0,597,JP,ON,G,CP,31,BM
JP-ON-GC033,16,1,970,1544,421,3340,JP,ON,G,CP,33,BM
JP-ON-GC034,16,1,2800,2426,421,0,JP,ON,G,CP,34,BM
JP-SC-GC001,17,1,1788,3308,3161,0,JP,SC,G,CP,1,BM
JP-SC-GC002,17,1,651,772,595,0,JP,SC,G,CP,2,BM
JP-SC-GC003,17,1,1954,1323,211,715,JP,SC,G,CP,3,BM
JP-SC-GC004,17,1,416,0,0,0,JP,SC,G,CP,4,BM
JP-SC-GC005,17,1,970,2647,211,200,JP,SC,G,CP,5,BM
JP-SC-GC006,17,1,804,1323,0,0,JP,SC,G,CP,6,BM
JP-SC-GC007,17,1,1220,1875,1592,0,JP,SC,G,CP,7,BM
JP-SC-GC008,17,1,1705,3970,329,0,JP,SC,G,CP,8,BM
JP-SC-GC009,17,1,4518,2316,0,1734,JP,SC,G,CP,9,BM
JP-SC-GC010,17,1,360,110,0,0,JP,SC,G,CP,10,BM
JP-SC-GC011,17,1,1344,3088,474,0,JP,SC,G,CP,11,BM
JP-SC-GC012,17,1,499,551,398,0,JP,SC,G,CP,12,BM
JP-SC-GC013,17,1,1719,1654,533,0,JP,SC,G,CP,13,BM
JP-SC-GC014,17,1,1843,4632,477,0,JP,SC,G,CP,14,BM
